,ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
0,1,5,2,SPD,"Abdi, Sanae",,Sanae,Abdi,1986,1,3,40.0,93.0,0,1,1,"27,9",0,1,_sanaeabdi,200695422,1,1,sanaeabdispd,111576226993790,1,1
1,2,8,4,FDP,"Abel, Valentin Christian",,Valentin Christian,Abel,1991,2,3,12.0,268.0,0,1,2,'null',0,1,Valentin_C_Abel,1699863337,1,1,valentinabel.fdp,1586699104972808,1,1
19,20,6,4,FDP,"Adler, Katja",,Katja,Adler,1974,1,3,6.0,176.0,0,1,2,'null',0,1,katjadler,712941191,2,1,katjadler,106967991184300,1,1
24,25,8,6,GRÜNE,"Aeffner, Stephanie",,Stephanie,Aeffner,1976,1,3,15.0,279.0,0,1,2,'null',0,1,s_aeffner,982288614,2,1,stephanie.aeffner,666817845,3,2
42,43,8,5,DIE LINKE,"Akbulut, Gökay",,Gökay,Akbulut,1982,1,3,2.0,275.0,1,1,2,'null',1,1,AkbulutGokay,800457587510476800,1,1,goekay.akbulut,1628676764050562,1,1
49,50,13,2,SPD,"Alabali-Radovan, Reem",,Reem,Alabali-Radovan,1990,1,3,6.0,12.0,0,1,1,"29,4",0,1,ReemAlabali,1217456777643659269,2,1,reem.alabaliradovan,102424668580172,1,1
50,51,3,1,CDU,"Albani, Stephan Theodor Johannes",,Stephan Theodor Johannes,Albani,1968,2,3,11.0,27.0,1,1,2,'null',1,1,Stephan_Albani,884120154,2,1,StephanAlbaniMdB,286689658107688,1,1
60,61,6,5,DIE LINKE,"Al-Dailami, Ali Abass Yahya",,Ali Abass Yahya,Al-Dailami,1981,2,3,2.0,173.0,0,1,2,'null',0,1,ali_aldailami,989599708917137408,2,1,AliAlDailami,1024105678,3,2
65,66,9,4,FDP,"Al-Halak, Muhanad",,Muhanad,Al-Halak,1989,2,3,14.0,227.0,0,1,2,'null',0,1,HalakMuhanad,1084016250324484096,1,1,AlHalakMuhanad,167241520711879,1,1
74,75,8,4,FDP,"Alt, Renata",,Renata,Alt,1965,1,3,7.0,262.0,1,1,2,'null',1,1,RenataAlt_MdB,1001837201276235777,1,1,AltRenata,1264289176971421,1,1
77,78,6,1,CDU,"Altenkamp, Norbert Maria",,Norbert Maria,Altenkamp,1972,2,3,16.0,181.0,1,1,1,"33,3",1,1,NAltenkamp,1319570576957149184,2,1,AltenkampMdB,143012542927620,1,1
99,100,5,2,SPD,"Andres, Dagmar",,Dagmar,Andres,1969,1,3,18.0,92.0,0,1,2,'null',0,1,DagmarAndres,126421442,2,1,DagmarAndresSPD,333974029985255,1,2
106,107,2,2,SPD,"Annen, Niels",,Niels,Annen,1973,2,3,2.0,20.0,1,1,2,'null',1,1,NielsAnnen,42401449,1,1,nielsannen,601163706652420,1,1
129,130,13,2,SPD,"Arlt, Johannes",,Johannes,Arlt,1984,2,3,5.0,17.0,0,1,1,"31,1",0,1,arlt_johannes,1262451438103465984,2,1,arltjohannes,108655634192831,1,2
154,155,1,4,FDP,"Aschenberg-Dugnus, Christine Irene",,Christine Irene,Aschenberg-Dugnus,1959,1,3,3.0,4.0,1,1,2,'null',1,1,cad59,25980076,1,1,AschenbergDugnusMdB,1581155168671300,1,1
165,166,11,6,GRÜNE,"Audretsch, Andreas",,Andreas,Audretsch,1984,2,3,4.0,82.0,0,1,2,'null',0,1,AnAudretsch,995519538,1,1,andreas.audretsch,580255140,3,2
172,173,9,7,CSU,"Aumer, Peter",,Peter,Aumer,1976,2,2,,233.0,1,1,1,"35,3",1,1,PeterAumer,348460907,1,1,PeAumer,272174299602455,1,1
173,174,5,6,GRÜNE,"Außendorf, Maik",,Maik,Außendorf,1971,2,3,18.0,100.0,0,1,2,'null',0,1,maik_aussendorf,24253731,1,1,maussendorf,108607258028382,1,1
186,187,8,6,GRÜNE,"Bacherle, Tobias Björn",,Tobias Björn,Bacherle,1994,2,3,13.0,260.0,0,1,2,'null',0,1,TBBacherle,2835233692,1,1,TBBacherle,623394177837445,1,1
