ID,LAND_NR,Partei_NR,Partei_ABK,Name,TW_acc,TW_user,TW_id,TW_verif,gescraped?
1,5,2,SPD,"Abdi, Sanae",1,_sanaeabdi,200695422,1,ja
2,8,4,FDP,"Abel, Valentin Christian",1,Valentin_C_Abel,1699863337,1,ja
20,6,4,FDP,"Adler, Katja",1,katjadler,712941191,2,ja
25,8,6,GRÜNE,"Aeffner, Stephanie",1,s_aeffner,982288614,2,ja
43,8,5,DIE LINKE,"Akbulut, Gökay",1,AkbulutGokay,8.00457587510477E+017,1,ja
50,13,2,SPD,"Alabali-Radovan, Reem",1,ReemAlabali,1.21745677764366E+018,2,ja
51,3,1,CDU,"Albani, Stephan Theodor Johannes",1,Stephan_Albani,884120154,2,ja
61,6,5,DIE LINKE,"Al-Dailami, Ali Abass Yahya",1,ali_aldailami,9.89599708917137E+017,2,ja
66,9,4,FDP,"Al-Halak, Muhanad",1,HalakMuhanad,1.08401625032448E+018,1,ja
75,8,4,FDP,"Alt, Renata",1,RenataAlt_MdB,1.00183720127624E+018,1,ja
78,6,1,CDU,"Altenkamp, Norbert Maria",1,NAltenkamp,1.31957057695715E+018,2,ja
100,5,2,SPD,"Andres, Dagmar",1,DagmarAndres,126421442,2,ja
107,2,2,SPD,"Annen, Niels",1,NielsAnnen,42401449,1,ja
130,13,2,SPD,"Arlt, Johannes",1,arlt_johannes,1.26245143810347E+018,2,ja
155,1,4,FDP,"Aschenberg-Dugnus, Christine Irene",1,cad59,25980076,1,ja
166,11,6,GRÜNE,"Audretsch, Andreas",1,AnAudretsch,995519538,1,ja
173,9,7,CSU,"Aumer, Peter",1,PeterAumer,348460907,1,ja
174,5,6,GRÜNE,"Außendorf, Maik",1,maik_aussendorf,24253731,1,ja
187,8,6,GRÜNE,"Bacherle, Tobias Björn",1,TBBacherle,2835233692,1,ja
199,9,6,GRÜNE,"Badum, Lisa Hildegard",1,badulrichmartha,282195399,1,ja
203,12,6,GRÜNE,"Baerbock, Annalena Charlotte Alma",1,ABaerbock,2179010672,1,ja
206,9,2,SPD,"Bahr, Ulrike Renate Martina",1,MdB_Ulrike_Bahr,7.24565991104111E+017,2,ja
210,7,2,SPD,"Baldy, Daniel",1,baldy_daniel,3305672686,2,ja
217,5,6,GRÜNE,"Banaszak, Felix",1,fbanaszak,395209158,1,ja
224,9,7,CSU,"Bär, Dorothee Gisela Renate Maria",1,DoroBaer,140821364,1,ja
225,9,6,GRÜNE,"Bär, Karl",1,karlbaer,33172351,2,ja
226,5,2,SPD,"Baradari, Nezahat",1,NBaradari,2773426719,2,ja
228,8,1,CDU,"Bareiß, Thomas",1,Thomas_Bareiss,2797812265,1,ja
252,6,2,SPD,"Bartol, Sören",1,soerenbartol,57293969,1,ja
254,13,5,DIE LINKE,"Bartsch, Dr. Dietmar Gerhard",1,DietmarBartsch,2320519958,1,ja
261,5,2,SPD,"Bas, Bärbel",1,baerbelbas,19438957,1,ja
275,9,4,FDP,"Bauer, Nicole Anna Elisabeth",1,nicole_ae_bauer,1.06187397976026E+018,1,ja
283,8,3,AfD,"Baum, Dr. Christina",1,DrChristinaBaum,9.55899834325701E+017,2,ja
286,2,3,AfD,"Baumann, Dr. Bernd",1,BerndBaumannAfD,3043727333,2,ja
309,11,6,GRÜNE,"Bayram, Canan",1,LieblingXhain,587862375,1,ja
319,2,6,GRÜNE,"Beck, Katharina Barbara Maria",1,kathabeck,36052322,1,ja
320,5,3,AfD,"Beckamp, Roger Friedrich Nikolaus",1,RogerBeckamp,4755310637,1,ja
339,3,4,FDP,"Beeck, Jens",1,jensbeeck,179216369,1,ja
400,1,2,SPD,"Bergt, Bengt Axel",1,BengtBergt,1.31994140842232E+018,0,ja
406,8,3,AfD,"Bernhard, Marc Albert",1,MarcBernhardAfD,8.0582395025315E+017,1,ja
431,5,1,CDU,"Beyer, Peter",1,Peter_Beyer,445375409,2,ja
438,8,1,CDU,"Biadacz, Marc Josef",1,MBiadaczMdB,9.35815000006054E+017,1,ja
457,8,1,CDU,"Bilger, Steffen Rudi",1,SteffenBilger,23925041,1,ja
467,5,5,DIE LINKE,"Birkwald, Matthias Walter",1,MWBirkwald,748851762,1,ja
478,3,2,SPD,"Blankenburg, Jakob",1,JakobBla,88495338,1,ja
484,7,3,AfD,"Bleck, Andreas",1,andreasbleckmdb,9.1087865453575E+017,2,ja
515,15,4,FDP,"Bodtke, Ingo",1,IngoBodtke,3418642394,2,ja
518,9,3,AfD,"Boehringer, Peter Christian Pascal",1,PeterBoehringer,99268600,2,ja
586,8,4,FDP,"Brandenburg, Dr. Jens",1,JBrandenburgFDP,8.57906951707128E+017,1,ja
